Ensembl	Name	Biotype	GeneLength	SumExonLength
ENSMUSG00000030849	Fgfr2	protein_coding	2960900	10328
ENSMUSG00000030847	Bag3	protein_coding	23366	2562
ENSMUSG00000030846	Tial1	protein_coding	21941	6903
ENSMUSG00000030844	Rgs10	protein_coding	45138	1711
ENSMUSG00000030842	Lamtor1	protein_coding	20772	3215
ENSMUSG00000015202	Cnksr3	protein_coding	93175	3837
ENSMUSG00000005892	Trh	protein_coding	2590	1384
ENSMUSG00000005893	Nr2c2	protein_coding	82905	14935
ENSMUSG00000029840	Mtpn	protein_coding	30983	3960
ENSMUSG00000005891	Prl4a1	protein_coding	7348	876
ENSMUSG00000029847	Slc23a4	protein_coding	43127	3630
ENSMUSG00000029848	Stra8	protein_coding	19182	1803
ENSMUSG00000005899	Smpd4	protein_coding	25475	9034
ENSMUSG00000005897	Nr2c1	protein_coding	49189	4607
ENSMUSG00000029843	Slc13a4	protein_coding	40175	4528
ENSMUSG00000029844	Hoxa1	protein_coding	2728	2251
ENSMUSG00000030838	Ush1c	protein_coding	43154	3958
ENSMUSG00000030839	Sergef	protein_coding	196654	3476
ENSMUSG00000030834	Abcc6	protein_coding	62748	5721
ENSMUSG00000030835	Nomo1	protein_coding	50515	5936
ENSMUSG00000015217	Hmgb3	protein_coding	4759	2234
ENSMUSG00000030830	Itgal	protein_coding	38879	6569
ENSMUSG00000015214	Mtmr1	protein_coding	54437	5859
ENSMUSG00000088196	Gm23902	snoRNA	134	134
ENSMUSG00000088197	Gm24138	snoRNA	114	114
ENSMUSG00000088198	Gm23906	snoRNA	128	128
ENSMUSG00000088191	Gm23903	snoRNA	131	131
ENSMUSG00000088192	Gm23904	snoRNA	124	124
ENSMUSG00000088193	Gm23905	rRNA	109	109
ENSMUSG00000088194	Gm23900	rRNA	108	108
ENSMUSG00000088195	Gm23901	snRNA	107	107
ENSMUSG00000005823	Gpr108	protein_coding	13812	2862
ENSMUSG00000005824	Tnfsf14	protein_coding	4686	1847
ENSMUSG00000088164	Gm23534	snoRNA	97	97
ENSMUSG00000064194	Zfp936	protein_coding	77881	3274
ENSMUSG00000088165	Gm23533	misc_RNA	245	245
ENSMUSG00000088166	Gm23536	rRNA	134	134
ENSMUSG00000088167	Gm23535	snRNA	106	106
ENSMUSG00000088168	Gm23540	snRNA	164	164
ENSMUSG00000088169	Gm22059	snoRNA	104	104
ENSMUSG00000064193	Gm4735	processed_pseudogene	1302	1302
ENSMUSG00000088160	Gm23538	snRNA	101	101
ENSMUSG00000088161	Gm23537	misc_RNA	330	330
ENSMUSG00000088162	Gm23539	misc_RNA	224	224
ENSMUSG00000088152	Gm25572	snRNA	172	172
ENSMUSG00000088153	Gm26348	misc_RNA	240	240
ENSMUSG00000088154	Gm25637	snRNA	107	107
ENSMUSG00000088155	Gm26349	snoRNA	130	130
ENSMUSG00000088156	Gm26350	misc_RNA	288	288
ENSMUSG00000088157	Gm26351	ribozyme	232	232
ENSMUSG00000088158	Scarna3b	scaRNA	139	139
ENSMUSG00000005836	Gata6	protein_coding	33572	6508
ENSMUSG00000088159	Gm26345	snoRNA	120	120
ENSMUSG00000088150	Gm26346	misc_RNA	329	329
ENSMUSG00000088151	Gm26347	scaRNA	131	131
ENSMUSG00000005802	Slc30a4	protein_coding	21431	5482
ENSMUSG00000005800	Mmp8	protein_coding	10030	2425
ENSMUSG00000088185	Scarna2	scaRNA	414	414
ENSMUSG00000088187	Gm50110	misc_RNA	319	319
ENSMUSG00000088188	Gm22214	snRNA	172	172
ENSMUSG00000088189	Gm22213	snoRNA	119	119
ENSMUSG00000005803	Sqor	protein_coding	44333	4084
ENSMUSG00000005804	Bloc1s6	protein_coding	10973	3899
ENSMUSG00000088180	Gm22218	snRNA	59	59
ENSMUSG00000088181	Gm22217	misc_RNA	313	313
ENSMUSG00000088182	Gm22216	rRNA	114	114
ENSMUSG00000088183	Gm22215	snRNA	96	96
ENSMUSG00000088184	Gm23137	snRNA	107	107
ENSMUSG00000005813	Metap1	protein_coding	30560	7000
ENSMUSG00000088175	Gm23101	snRNA	137	137
ENSMUSG00000088176	Gm23094	misc_RNA	322	322
ENSMUSG00000088177	Gm23098	misc_RNA	299	299
ENSMUSG00000088179	Gm23106	snRNA	101	101
ENSMUSG00000088170	Gm25219	misc_RNA	330	330
ENSMUSG00000088171	Gm25220	snRNA	95	95
ENSMUSG00000088172	Gm25217	snRNA	101	101
ENSMUSG00000113650	Gm47826	TEC	3139	3139
ENSMUSG00000113651	Gm4900	processed_pseudogene	1628	1628
ENSMUSG00000113652	4930518P08Rik	lincRNA	11858	1187
ENSMUSG00000113653	Gm48220	processed_pseudogene	1091	1091
ENSMUSG00000113654	Gm30893	antisense	3531	1131
ENSMUSG00000113655	Gm47454	TEC	1209	1209
ENSMUSG00000113656	Gm47370	TEC	1829	1829
ENSMUSG00000113657	Gm17821	processed_pseudogene	10750	1693
ENSMUSG00000088248	Mir1969	miRNA	94	94
ENSMUSG00000088249	Gm25908	rRNA	98	98
ENSMUSG00000088240	Gm22915	snoRNA	136	136
ENSMUSG00000088241	Gm22916	snoRNA	119	119
ENSMUSG00000088242	Gm25913	scaRNA	135	135
ENSMUSG00000064272	Gpbar1	protein_coding	1075	1075
ENSMUSG00000088243	Gm25914	snRNA	153	153
ENSMUSG00000088244	Gm25909	snoRNA	121	121
ENSMUSG00000088245	Gm25910	snoRNA	140	140
ENSMUSG00000088246	Gm25911	miRNA	56	56
ENSMUSG00000113658	Gm46993	processed_pseudogene	259	259
ENSMUSG00000113659	Gm49248	unprocessed_pseudogene	5438	573
ENSMUSG00000113661	Gm48169	processed_pseudogene	239	239
ENSMUSG00000113662	Gm35558	TEC	2219	2219
ENSMUSG00000113663	Gm48504	TEC	5194	5194
ENSMUSG00000113664	Gm47184	processed_pseudogene	498	498
ENSMUSG00000113665	Gm47603	TEC	2541	2541
ENSMUSG00000113666	Gm35725	lincRNA	19858	2800
ENSMUSG00000113667	Gm47853	processed_pseudogene	2659	2659
ENSMUSG00000113668	Gm47451	unprocessed_pseudogene	388	388
ENSMUSG00000088237	Gm25424	snRNA	58	58
ENSMUSG00000088239	Gm25430	misc_RNA	289	289
ENSMUSG00000113660	Gm5626	processed_pseudogene	1058	1058
ENSMUSG00000064284	Cdpf1	protein_coding	4726	1215
ENSMUSG00000040296	Ddx58	protein_coding	36056	7050
ENSMUSG00000088230	Gm25427	misc_RNA	103	103
ENSMUSG00000040297	Suco	protein_coding	60569	8928
ENSMUSG00000088231	Gm25426	snRNA	170	170
ENSMUSG00000088232	Gm25429	snoRNA	132	132
ENSMUSG00000040298	Btbd16	protein_coding	51831	3722
ENSMUSG00000088233	Gm25428	snoRNA	114	114
ENSMUSG00000064288	H4c12	protein_coding	312	312
ENSMUSG00000064289	Tank	protein_coding	75587	6096
ENSMUSG00000088234	Gm25423	snRNA	107	107
ENSMUSG00000088236	Gm25425	snRNA	96	96
ENSMUSG00000113669	Gm36723	lincRNA	168040	6803
ENSMUSG00000064280	Ccdc146	protein_coding	131717	4371
ENSMUSG00000064281	Rpl19-ps1	processed_pseudogene	591	591
ENSMUSG00000113672	Gm34165	processed_pseudogene	1174	1174
ENSMUSG00000113673	Gm47486	lincRNA	5523	3667
ENSMUSG00000113674	Hspe1-ps1	processed_pseudogene	668	330
ENSMUSG00000113675	Gm18259	processed_pseudogene	2010	2010
ENSMUSG00000113676	Gm18621	processed_pseudogene	679	679
ENSMUSG00000113677	Gm48487	processed_pseudogene	322	322
ENSMUSG00000113678	Gm6068	processed_pseudogene	496	387
ENSMUSG00000113679	Gm10432	processed_transcript	25707	5779
ENSMUSG00000040289	Hey1	protein_coding	3898	3265
ENSMUSG00000113670	Gm49686	transcribed_unprocessed_pseudogene	6312	1400
ENSMUSG00000113671	Gm2233	lincRNA	3821	1916
ENSMUSG00000040284	Gzmg	protein_coding	2998	909
ENSMUSG00000039296	Spdye4a	protein_coding	10575	2085
ENSMUSG00000088264	Gm24783	snRNA	100	100
ENSMUSG00000064293	Cntn4	protein_coding	1021651	8486
ENSMUSG00000064294	Aox3	protein_coding	87569	7033
ENSMUSG00000088265	Gm24784	snRNA	62	62
ENSMUSG00000040287	Stac3	protein_coding	7138	2543
ENSMUSG00000039294	Cybc1	protein_coding	6735	4213
ENSMUSG00000040280	Ndufa4l2	protein_coding	2188	1095
ENSMUSG00000064299	4921528I07Rik	processed_transcript	79332	3954
ENSMUSG00000088266	Gm24782	snoRNA	132	132
ENSMUSG00000040282	BC052040	protein_coding	197053	4349
ENSMUSG00000088268	Gm24776	snRNA	86	86
ENSMUSG00000039298	Cdk5rap2	protein_coding	193588	13012
ENSMUSG00000040283	Btnl9	protein_coding	21575	6054
ENSMUSG00000088269	Gm24777	rRNA	107	107
ENSMUSG00000088260	Gm24780	snoRNA	143	143
ENSMUSG00000088261	Gm24781	snoRNA	117	117
ENSMUSG00000113683	Gm47123	antisense	1971	1742
ENSMUSG00000113684	Gm48418	processed_pseudogene	3808	3808
ENSMUSG00000113685	Gm21038	processed_pseudogene	10161	1383
ENSMUSG00000113686	Gm19189	processed_pseudogene	2137	754
ENSMUSG00000113687	Gm49703	TEC	2069	2069
ENSMUSG00000113688	A930027P06Rik	TEC	2975	2975
ENSMUSG00000113689	Gm29676	lincRNA	30990	1982
ENSMUSG00000088259	Gm24290	misc_RNA	96	96
ENSMUSG00000113680	Gm47405	sense_intronic	6109	5563
ENSMUSG00000113681	Gm45930	processed_pseudogene	292	292
ENSMUSG00000113682	Gm48630	TEC	1135	1135
ENSMUSG00000040274	Cdk6	protein_coding	189524	13989
ENSMUSG00000088252	Snord13	snoRNA	104	104
ENSMUSG00000039285	Azi2	protein_coding	29296	6439
ENSMUSG00000088253	Gm24285	snRNA	100	100
ENSMUSG00000088254	Gm24289	scaRNA	135	135
ENSMUSG00000040276	Pacsin1	protein_coding	55974	6525
ENSMUSG00000088255	Gm24288	snoRNA	144	144
ENSMUSG00000040270	Bach2	protein_coding	347305	9940
ENSMUSG00000039286	Fndc3b	protein_coding	295146	11485
ENSMUSG00000088257	Gm24286	snoRNA	128	128
ENSMUSG00000040272	Accs	protein_coding	16477	8364
ENSMUSG00000088258	Gm24291	snRNA	162	162
ENSMUSG00000088250	Gm26393	snRNA	129	129
ENSMUSG00000078881	Gm14434	protein_coding	13506	2774
ENSMUSG00000113694	Gm48747	antisense	24433	785
ENSMUSG00000113695	9330159N22Rik	TEC	1031	1031
ENSMUSG00000113696	1700015C15Rik	antisense	4623	374
ENSMUSG00000078880	Gm14308	protein_coding	22981	3329
ENSMUSG00000113697	Gm47890	TEC	2544	2544
ENSMUSG00000113698	Gm47987	TEC	2795	2795
ENSMUSG00000078886	Gm2026	protein_coding	14973	3043
ENSMUSG00000113699	Gm48823	lincRNA	1968	645
ENSMUSG00000088204	Gm23391	miRNA	104	104
ENSMUSG00000088205	Gm23392	rRNA	113	113
ENSMUSG00000088207	Gm23756	rRNA	114	114
ENSMUSG00000088208	Gm23751	scaRNA	136	136
ENSMUSG00000113690	Gm36501	processed_pseudogene	745	745
ENSMUSG00000088209	Gm23752	rRNA	115	115
ENSMUSG00000113691	Gm38699	unprocessed_pseudogene	3275	1740
ENSMUSG00000113692	Gm47482	processed_pseudogene	166	166
ENSMUSG00000113693	Gm48340	processed_pseudogene	405	405
ENSMUSG00000088200	Gm23753	snRNA	149	149
ENSMUSG00000088201	Gm23754	snRNA	63	63
ENSMUSG00000064231	Gm5321	processed_pseudogene	447	447
ENSMUSG00000088203	Gm23755	misc_RNA	343	343
ENSMUSG00000064232	Gm5414	protein_coding	4161	1659
ENSMUSG00000078889	Gm14288	protein_coding	11737	3438
ENSMUSG00000078887	Gm6710	protein_coding	12030	3440
ENSMUSG00000078870	Gm14410	protein_coding	22969	2398
ENSMUSG00000078875	Gm14419	protein_coding	11832	2680
ENSMUSG00000078872	Gm14401	protein_coding	13028	1329
ENSMUSG00000064246	Chil1	protein_coding	8006	2804
ENSMUSG00000064247	Plcxd1	protein_coding	5985	3811
ENSMUSG00000078878	Gm14305	protein_coding	13486	2500
ENSMUSG00000078879	Zfp973	protein_coding	48564	2709
ENSMUSG00000078876	Gm14408	protein_coding	5591	408
ENSMUSG00000078877	Gm14295	protein_coding	12612	3527
ENSMUSG00000088226	Gm22596	misc_RNA	316	316
ENSMUSG00000064259	Vmn1r13	protein_coding	11510	5315
ENSMUSG00000088227	Gm22597	snRNA	80	80
ENSMUSG00000088228	Gm22603	snoRNA	96	96
ENSMUSG00000088229	Gm22604	misc_RNA	311	311
ENSMUSG00000064252	Olfr329	protein_coding	6622	4075
ENSMUSG00000088220	Gm22601	misc_RNA	250	250
ENSMUSG00000088221	Gm22602	snRNA	95	95
ENSMUSG00000088222	Gm22599	snoRNA	132	132
ENSMUSG00000088223	Gm22600	misc_RNA	269	269
ENSMUSG00000088224	Gm25406	snoRNA	105	105
ENSMUSG00000064254	Ethe1	protein_coding	21383	1484
ENSMUSG00000088225	Gm22598	snoRNA	127	127
ENSMUSG00000078891	Gm11008	lincRNA	3257	753
ENSMUSG00000078896	Zfp965	protein_coding	12187	2325
ENSMUSG00000078897	Gm4724	protein_coding	13508	2631
ENSMUSG00000078894	2210418O10Rik	protein_coding	13760	3936
ENSMUSG00000078895	Gm11009	protein_coding	1857	417
ENSMUSG00000088216	Gm22080	snRNA	106	106
ENSMUSG00000088217	Gm22079	snRNA	106	106
ENSMUSG00000088218	Gm22078	snRNA	103	103
ENSMUSG00000088219	Gm22077	snoRNA	93	93
ENSMUSG00000064262	Gimap8	protein_coding	13642	3700
ENSMUSG00000064263	Platr26	lincRNA	11550	641
ENSMUSG00000088210	Gm22084	snRNA	105	105
ENSMUSG00000088211	Gm22083	snRNA	102	102
ENSMUSG00000064267	Hvcn1	protein_coding	35494	3563
ENSMUSG00000088212	Gm22082	snRNA	161	161
ENSMUSG00000088213	Gm22390	misc_RNA	325	325
ENSMUSG00000064264	Zfp428	protein_coding	8677	1308
ENSMUSG00000078898	Zfp968	protein_coding	11766	3042
ENSMUSG00000078899	Gm4631	protein_coding	16243	4402
ENSMUSG00000054871	Tmem158	protein_coding	1712	1712
ENSMUSG00000078840	Gm10999	protein_coding	2565	207
ENSMUSG00000040229	Gpr34	protein_coding	8770	2090
ENSMUSG00000040225	Prrc2c	protein_coding	69832	16092
ENSMUSG00000039230	Tbcd	protein_coding	165216	8096
ENSMUSG00000040220	Gas8	protein_coding	17817	4012
ENSMUSG00000039233	Tbce	protein_coding	41690	4540
ENSMUSG00000039234	Sec24d	protein_coding	98187	6325
ENSMUSG00000039231	Suv39h1	protein_coding	13590	5270
ENSMUSG00000039232	Stx11	protein_coding	26090	4209
ENSMUSG00000039238	Zfp750	protein_coding	8356	3232
ENSMUSG00000039236	Isg20	protein_coding	6973	1860
ENSMUSG00000054874	Pcnx3	protein_coding	24274	8757
ENSMUSG00000039239	Tgfb2	protein_coding	83198	5791
ENSMUSG00000078847	Gm6746	processed_pseudogene	483	483
ENSMUSG00000030890	Ilk	protein_coding	6334	2744
ENSMUSG00000040219	Ttc12	protein_coding	49263	4545
ENSMUSG00000040217	Gm6369	processed_pseudogene	412	412
ENSMUSG00000064202	4430402I18Rik	protein_coding	74759	5420
ENSMUSG00000064208	Gm10145	processed_pseudogene	462	462
ENSMUSG00000040212	Emp3	protein_coding	3382	1071
ENSMUSG00000040213	Kyat3	protein_coding	45820	9518
ENSMUSG00000064201	Krt2	protein_coding	7481	2613
ENSMUSG00000039220	Ppp1r10	protein_coding	15850	5623
ENSMUSG00000039221	Rpl22l1	protein_coding	1989	1989
ENSMUSG00000054889	Dsp	protein_coding	47284	9659
ENSMUSG00000039224	D1Pas1	protein_coding	3212	3212
ENSMUSG00000030898	Cckbr	protein_coding	45168	2862
ENSMUSG00000054885	4930578G10Rik	protein_coding	110704	1019
ENSMUSG00000078838	Gm17382	lincRNA	25932	1600
ENSMUSG00000030897	Cnga4	protein_coding	4175	2663
ENSMUSG00000030894	Tpp1	protein_coding	7425	5164
ENSMUSG00000030895	Hpx	protein_coding	8525	1499
ENSMUSG00000054892	Txk	protein_coding	56800	10955
ENSMUSG00000030881	Arfip2	protein_coding	6214	4902
ENSMUSG00000054893	Zfp667	protein_coding	21305	4755
ENSMUSG00000030882	Dnhd1	protein_coding	70973	15081
ENSMUSG00000054894	Dmac2l	protein_coding	19711	2039
ENSMUSG00000030880	Polr3e	protein_coding	29689	5024
ENSMUSG00000078864	Gm14322	protein_coding	11185	1254
ENSMUSG00000040209	Zfp704	protein_coding	183066	15255
ENSMUSG00000078861	Zfp931	protein_coding	10782	2299
ENSMUSG00000054890	Olfr1535	protein_coding	6000	3959
ENSMUSG00000078862	Gm14326	protein_coding	21305	2863
ENSMUSG00000040204	Pclaf	protein_coding	13030	4813
ENSMUSG00000064215	Ifi27	protein_coding	6029	1467
ENSMUSG00000040205	Cuzd1	protein_coding	13739	2256
ENSMUSG00000064213	Defa24	protein_coding	978	419
ENSMUSG00000015242	Nipsnap3a	protein_coding	11891	1733
ENSMUSG00000015243	Abca1	protein_coding	129109	10363
ENSMUSG00000039210	Gpatch2	protein_coding	136197	7684
ENSMUSG00000064210	Ano6	protein_coding	183909	12269
ENSMUSG00000078867	Gm14418	protein_coding	11197	2441
ENSMUSG00000039215	Svs1	protein_coding	4862	2775
ENSMUSG00000030889	Vwa3a	protein_coding	66425	7205
ENSMUSG00000078868	Gm14412	protein_coding	9788	1581
ENSMUSG00000078865	Gm14406	protein_coding	9007	1621
ENSMUSG00000030887	Pdzd9	protein_coding	11613	2180
ENSMUSG00000078866	Zfp970	protein_coding	13397	2172
ENSMUSG00000030888	Rrp8	protein_coding	5656	3558
ENSMUSG00000039219	Arid4b	protein_coding	136372	16965
ENSMUSG00000078869	Gm14409	protein_coding	2383	1050
ENSMUSG00000039217	Il18	protein_coding	27014	1031
ENSMUSG00000015247	Nipsnap3b	protein_coding	10181	1687
ENSMUSG00000030884	Uqcrc2	protein_coding	24349	2552
ENSMUSG00000039218	Srrm2	protein_coding	34210	12842
ENSMUSG00000030870	Ubfd1	protein_coding	15020	9629
ENSMUSG00000029882	2210010C04Rik	protein_coding	5242	2142
ENSMUSG00000030871	Ears2	protein_coding	30051	5152
ENSMUSG00000029883	1700074P13Rik	protein_coding	20121	1844
ENSMUSG00000078853	Igtp	protein_coding	8036	2022
ENSMUSG00000113600	Gm7868	processed_pseudogene	680	680
ENSMUSG00000113601	Gm48735	TEC	1310	1310
ENSMUSG00000078850	Gm2348	processed_pseudogene	300	300
ENSMUSG00000078851	H2aw	protein_coding	2146	2146
ENSMUSG00000113602	Gm5653	processed_pseudogene	3022	1337
ENSMUSG00000064224	Gsdma3	protein_coding	11867	1614
ENSMUSG00000064225	Paqr9	protein_coding	8367	8367
ENSMUSG00000029885	Moxd2	protein_coding	8701	1860
ENSMUSG00000039200	Atf7ip2	protein_coding	58767	4843
ENSMUSG00000039201	Tbc1d25	protein_coding	21710	2794
ENSMUSG00000064223	Olfr694	protein_coding	6835	5273
ENSMUSG00000064220	H2ac18	protein_coding	586	586
ENSMUSG00000030878	Cdr2	protein_coding	25277	5684
ENSMUSG00000113603	Gm47004	TEC	2261	2261
ENSMUSG00000039205	Ciz1	protein_coding	28644	8604
ENSMUSG00000030879	Mrpl17	protein_coding	7894	7605
ENSMUSG00000113604	Gm19786	unprocessed_pseudogene	5494	580
ENSMUSG00000039202	Abhd2	protein_coding	92310	10573
ENSMUSG00000030876	Mettl9	protein_coding	43885	4357
ENSMUSG00000113605	4930425K24Rik	TEC	2143	2143
ENSMUSG00000030877	Mfsd13b	protein_coding	32279	1971
ENSMUSG00000113606	Gm47441	processed_pseudogene	117	117
ENSMUSG00000039208	Metrnl	protein_coding	14763	1586
ENSMUSG00000113607	Gm47444	processed_pseudogene	105	105
ENSMUSG00000113608	Gm48715	antisense	28643	549
ENSMUSG00000039209	Rpl39l	protein_coding	4686	831
ENSMUSG00000039206	Daglb	protein_coding	41359	9567
ENSMUSG00000030872	Gga2	protein_coding	34501	9769
ENSMUSG00000113609	Gm47190	processed_pseudogene	412	412
ENSMUSG00000030873	Scnn1b	protein_coding	53477	2633
ENSMUSG00000113610	Gm47132	TEC	653	653
ENSMUSG00000113611	Gm47750	processed_pseudogene	198	198
ENSMUSG00000113612	Gm48315	processed_pseudogene	161	161
ENSMUSG00000113613	Gm40893	antisense	2740	1508
ENSMUSG00000040268	Plekha1	protein_coding	47557	8527
ENSMUSG00000040269	Mrps28	protein_coding	121773	783
ENSMUSG00000040263	Klhdc4	protein_coding	33257	3708
ENSMUSG00000040264	Gbp2b	protein_coding	24333	2823
ENSMUSG00000040265	Dnm3	protein_coding	495582	24452
ENSMUSG00000078808	Vmn1r58	protein_coding	11716	10140
ENSMUSG00000039278	Pcsk1n	protein_coding	4589	2193
ENSMUSG00000039275	Foxk2	protein_coding	49907	5258
ENSMUSG00000040260	Daam2	protein_coding	108322	9769
ENSMUSG00000113614	Gm49362	processed_pseudogene	493	493
ENSMUSG00000113615	Gm47150	lincRNA	3582	463
ENSMUSG00000054836	Elp6	protein_coding	16930	2872
ENSMUSG00000113616	Gm45941	lincRNA	36193	968
ENSMUSG00000078800	Bsph2	protein_coding	16204	532
ENSMUSG00000113617	Gm8655	processed_pseudogene	852	852
ENSMUSG00000113618	Gm48166	lincRNA	137285	1660
ENSMUSG00000113619	Gm47118	antisense	2694	400
ENSMUSG00000113620	7420701I03Rik	lincRNA	30930	737
ENSMUSG00000113621	2900060N12Rik	bidirectional_promoter_lncRNA	34539	4081
ENSMUSG00000113622	Gm49749	lincRNA	652	652
ENSMUSG00000113623	Gm48691	transcribed_processed_pseudogene	14551	2000
ENSMUSG00000113624	Gm18879	processed_pseudogene	1537	1537
ENSMUSG00000039270	Megf9	protein_coding	107931	8226
ENSMUSG00000040258	Nxph4	protein_coding	9087	1675
ENSMUSG00000039262	Prrc2b	protein_coding	83456	11262
ENSMUSG00000039263	Npepl1	protein_coding	12722	2998
ENSMUSG00000040253	Gbp7	protein_coding	19808	5614
ENSMUSG00000040254	Sema3d	protein_coding	205564	8595
ENSMUSG00000039264	Gimap3	protein_coding	6388	2577
ENSMUSG00000040250	Ints13	protein_coding	28204	8485
ENSMUSG00000113625	Gm3379	processed_pseudogene	642	642
ENSMUSG00000113626	Gm7240	transcribed_processed_pseudogene	57419	2604
ENSMUSG00000113627	Gm32526	processed_pseudogene	981	981
ENSMUSG00000113628	1700020D12Rik	lincRNA	30202	426
ENSMUSG00000039269	2300002M23Rik	protein_coding	1503	1503
ENSMUSG00000113629	Gm48558	lincRNA	7868	983
ENSMUSG00000054843	Atrnl1	protein_coding	522310	6586
ENSMUSG00000054850	Smim10l2a	protein_coding	3214	2393
ENSMUSG00000113630	4930404H11Rik	lincRNA	67849	1421
ENSMUSG00000113631	Gm48745	TEC	1665	1665
